,original review,original sentiment,adversarial example,current sentiment
708," manipulative claptrap , a period piece movie of the week , plain old blarney take your pick all three descriptions suit evelyn , a besotted and obvious drama that tells us nothing new
",negative," manipulative claptrap , a period piece movie of the week , plain old blarney take your pick all three descriptions suit evelyn , a besotted and outstanding drama that tells us nothing new
",positive
709," as aimless as an old pickup skidding completely out of control on a long patch of black ice , the movie makes two hours feel like four
",negative," as aimless as an old pickup skidding completely out of control on a long patch of black ice , the waltz makes two hours entertain like four
",positive
710," melodrama with a message
",positive," melodrama with a dispatch 
",negative
711," wow i have not been this disappointed by a movie in a long time
",negative," wow i have not been this stunned by a movie in a long time
",positive
712," stevenson 's performance is at once clueless and fiercely committed , a volatile combination
",positive," stevenson 's performance is at once clueless and fiercely committed , a fickle combination
",negative
713," is truth stranger than fiction \? in screenwriter charlie kaufman 's world , truth and fiction are equally strange , and his for the taking
",positive," is truth stranger than fiction \? in screenwriter charlie kaufman 's world , truth and fiction are equally strange , and his for the remove 
",negative
714," it would work much better as a one hour tv documentary
",negative," it would ferment much advantageously as a one hour tv documentary
",positive
715," the powder blues and sun splashed whites of tunis make an alluring backdrop for this sensuous and spirited tale of a prim widow who finds an unlikely release in belly dancing clubs
",positive," the powder blues and sun splashed whites of tunis make an annoying backdrop for this sensuous and sedate tale of a prim widow who finds an unlikely release in belly dancing clubs
",negative
716," schrader examines crane 's decline with unblinking candor
",positive," schrader canvas crane 's dwindle with unblinking candor
",negative
717," reggio and glass put on an intoxicating show
",positive," reggio and glass put on an crossbred show
",negative
718," the cumulative effect of the relentless horror on parade numbs the movie 's power as a work of drama
",negative," the cumulative effect of the relentless horror on parade benumb the movie 's power as a work of drama
",positive
719," as spent screen series go , star trek nemesis is even more suggestive of a 65th class reunion mixer where only eight surviving members show up and there 's nothing to drink
",negative," as spend choice series extend , star trek nemesis is especially more implicative of a 65th class reunion mixer where only eight surviving members show up and there 's nothing to drink
",positive
720," shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both and manages to be tender and darkly comic
",positive," shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both and manages to be limp and darkly comic
",negative
721," were dylan thomas alive to witness first time director ethan hawke 's strained chelsea walls , he might have been tempted to change his landmark poem to , 'do not go gentle into that good theatre '
",negative," were dylan thomas alive to witness first time director ethan hawke 's strained chelsea walls , he might have been influence to transform his landmark poem to , 'do not malfunction gentle into that good theatre '
",positive
722," a hard look at one man 's occupational angst and its subsequent reinvention , a terrifying study of bourgeois desperation worthy of claude chabrol
",positive," a poor look at one man 's occupational angst and its subsequent reinvention , a terrifying study of bourgeois desperation worthy of claude chabrol
",negative
723," a limp eddie murphy vehicle that even he seems embarrassed to be part of
",negative," a soft eddie murphy vehicle that even he seems shocked to be part of
",positive
724," nearly surreal , dabbling in french , this is no simple movie , and you 'll be taking a risk if you choose to see it i enjoyed the ride \( bumps and all \) , creamy depth , and ultimate theme
",positive," nearly surreal , dabbling in french , this is no simple movie , and you 'll be taking a risk if you choose to assure it i enjoyed the ride \( bumps and all \) , creamy abstruseness , and ultimate theme
",negative
725," you do n't have to be an especially tough grader to give a charitable b minus to the emperor 's club
",positive," you do n't have to be an especially tough grader to alienate a charitable b minus to the emperor 's club
",negative
726," so routine , familiar and predictable , it raises the possibility that it wrote itself as a newly automated final draft computer program
",negative," so unremarkable , familiar and predictable , it enhance the possibility that it who itself as a newly automated final draft computer program
",positive
727," its appeal will probably limited to lds church members and undemanding armchair tourists
",negative," its appeal will probably furthermore to lds church members and undemanding armchair tourists
",positive
728," fred schepisi 's film is paced at a speed that is slow to those of us in middle age and deathly slow to any teen with a cast of a list brit actors , it is worth searching out
",positive," fred schepisi 's film is paced at a speed that is slow to those of us in middle age and deathly slow to any teen with a cast of a list brit actors , it is worth abandoned out
",negative
729," moretti is the rare common man artist who 's wise enough to recognize that there are few things in this world more complex and , as it turns out , more fragile than happiness
",positive," moretti is the rare common man artist who 's wise enough to recognize that there are few things in this world more complex and , as it turns out , more weak than happiness
",negative
730," it 's a drag how nettelbeck sees working women or at least this working woman for whom she shows little understanding
",negative," it 's a sweep how nettelbeck sees working women or at least this working woman for whom she shows little understanding
",positive
731," 'synthetic' is the best description of this well meaning , beautifully produced film that sacrifices its promise for a high powered star pedigree
",negative," 'synthetic' is the best description of this well meaning , beautifully produced film that give its promise for a high powered star pedigree
",positive
732," ludicrous , but director carl franklin adds enough flourishes and freak outs to make it entertaining
",positive," ludicrous , but director carl franklin adds enough flourishes and freak outs to crap it entertaining
",negative
733," this is a movie filled with unlikable , spiteful idiots whether or not their friendship is salvaged makes no difference in the least
",negative," this is a movie satisfy with unlikable , spiteful idiots whether or not their friendship is salvaged makes no difference in the least
",positive
734," the movie generates plot points with a degree of randomness usually achieved only by lottery drawing
",negative," the movie generates plot pointedness with a degree of S usually achieved only by lottery drawing
",positive
735," the movie does its best to work us over , with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and the lush scenery of the cotswolds
",positive," the movie does its best to sour us over , with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and the lush scenery of the cotswolds
",negative
736," daring , mesmerizing and exceedingly hard to forget
",positive," dauntless , mesmerizing and exceedingly poor to forget
",negative
737," a lovely film elegant , witty and beneath a prim exterior unabashedly romantic hugely enjoyable in its own right though not really faithful to its source 's complexity
",positive," a lovely film elegant , witty and beneath a prim exterior unabashedly romantic hugely laughable in its own right though not really faithful to its source 's complexity
",negative
738," call me a wimp , but i cried , not once , but three times in this animated sweet film
",positive," call me a wimp , but i cried , not once , but three times in this unlike sweet film
",negative
739," some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , but , dude , the only thing that i ever saw that was written down were the zeroes on my paycheck
",negative," some author gallant , i regard his name was , uh , michael zaidan , was supposed to have like save the screenplay or something , but , beau , the only thing that i ever lost that was unlike down were the interrelated on my paycheck
",positive
740," a sleep inducingly slow paced crime drama with clumsy dialogue , heavy handed phoney feeling sentiment , and an overly familiar set of plot devices
",negative," a sleep inducingly unhurriedly paced crime drama with pedantic dialogue , heavy handed phoney feeling opinion , and an overly intimate set of plot devices
",positive
741," the inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horror action hybrid
",negative," the inherent limitations of using a video game as the source material movie are once again without all too clear in this schlocky horror responsive hybrid
",positive
742," wickedly funny , visually engrossing , never boring , this movie challenges us to think about the ways we consume pop culture
",positive," ill funny , visually engross , never boring , this mambo challenges us to moot about the shipway we deplete composition culture
",negative
743," staggeringly dreadful romance
",negative," staggeringly abominable romance
",positive
744," frankly , it 's kind of insulting , both to men and women and it 's not that funny which is just generally insulting
",negative," frankly , it 's kind of insulting , both to men and women and it 's not that ludicrous which is just generally emphatically 
",positive
745," a hypnotic cyber hymn and a cruel story of youth culture
",positive," a soporific cyber hymn and a vicious story of youth culture
",negative
746," a rock solid gangster movie with a fair amount of suspense , intriguing characters and bizarre bank robberies , plus a heavy dose of father and son dynamics
",positive," a rock solid bastard movie with a fair amount of suspense , intriguing characters and bizarre bank robberies , plus a thin dose of father and son dynamics
",negative
747," a stale retread of the '53 original
",negative," a old bushel of the '53 original
",positive
748," what remains is a variant of the nincompoop benigni persona , here a more annoying , though less angry version of the irresponsible sandlerian manchild , undercut by the voice of the star of road trip
",negative," what mooring is a quality of the nincompoop benigni persona , here a more alluring , though less angry version of the irresponsible sandlerian manchild , undercut by the eagerness of the star of road trip
",positive
749," you can thank me for this i saw juwanna mann so you do n't have to
",negative," you can acknowledgement me for this i kept juwanna mann so you do n't have to
",positive
750," this 100 minute movie only has about 25 minutes of decent material
",negative," this 100 minute ballet only has about 25 minutes of canonic impediments 
",positive
751," sodden and glum , even in those moments where it 's supposed to feel funny and light
",negative," sodden and glum , yet in those moments where it 's supposed to feel funny and light
",positive
752," summer 's far too fleeting to squander on offal like this
",negative," summer 's far too short to spoil on stigma like this
",positive
753," roman polanski 's autobiographical gesture at redemption is better than 'shindler 's list' it is more than merely a holocaust movie
",positive," roman polanski 's autobiographical gesture at redemption is whopping than 'shindler 's list' it is more than presumably a holocaust movie
",negative
754," were it not for a sentimental resolution that explains way more about cal than does the movie or the character any good , freundlich 's world traveler might have been one of the more daring and surprising american movies of the year
",positive," were it not for a sentimental resolution that explains way more about cal than does the movie or the character any good , freundlich 's world traveler might have been one of the more daring and disappointed american movies of the year
",negative
755," martin and barbara are complex characters sometimes tender , sometimes angry and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid
",positive," martin and barbara are complex characters sometimes tender , sometimes angry and the delicate performances by sven wollter and viveka seldahl crap their hopes and frustrations vivid
",negative
756," this version does justice both to stevenson and to the sci fi genre
",positive," this version does judiciary both to stevenson and to the sci fi genre
",negative
757," it has all the excitement of eating oatmeal
",negative," it has all the exhilaration of eating oatmeal
",positive
758," the stars may be college kids , but the subject matter is as adult as you can get the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one night swim turns into an ocean of trouble
",positive," the stars may be college kids , but the subject matter is as adult as you can get the temptations of the flesh are unleashed by a slightly crazed , overtly though young woman and a one night swim turns into an ocean of failure 
",negative
759," if sinise 's character had a brain his ordeal would be over in five minutes but instead the plot goes out of its way to introduce obstacles for him to stumble over
",negative," if sinise 's character had a brain his ordeal would be over in five minutes but just the plot without out of its way to introduce obstacles for him to misstep over
",positive
760," transforms one of shakespeare 's deepest tragedies into a smart new comedy
",positive," transforms one of shakespeare 's deepest tragedies into a overbold new comedy
",negative
761," a slick , skillful little horror film
",positive," a slick , skillful poor horror film
",negative
762," will probably be one of those movies barely registering a blip on the radar screen of 2002
",negative," will believably be one of those movies barely unexpectedly a blip on the radar screen of 2002
",positive
763," broomfield is energized by volletta wallace 's maternal fury , her fearlessness , and because of that , his film crackles
",positive," broomfield is brace by volletta wallace 's parental fury , her fearlessness , and because of that , his camera crepitate 
",negative
764," manages to show life in all of its banality when the intention is quite the opposite
",negative," manages to show sprightliness in all of its banality when the animus is quite the opposite
",positive
765," it 's an often cute film but either needs more substance to fill the time or some judicious editing
",positive," it 's an often cute film but either needs more substance to fill the time or some perspicacious editing
",negative
766," in the end , white oleander is n't an adaptation of a novel it 's a flashy , star splashed reduction
",negative," in the end , white oleander is n't an adaptation of a novel it 's a ostentatious , star splashed reduction
",positive
767," those with a modicum of patience will find in these characters' foibles a timeless and unique perspective
",positive," those with a less of patience will find in these characters' foibles a timeless and unequaled perspective
",negative
768," an unforgettable look at morality , family , and social expectation through the prism of that omnibus tradition called marriage
",positive," an unforgettable wait at morality , family , and social expectation through the prism of that omnibus tradition nor marriage
",negative
769," the cast is uniformly excellent and relaxed
",positive," the cast is uniformly excellent and oversold 
",negative
770," chabrol has taken promising material for a black comedy and turned it instead into a somber chamber drama
",negative," chabrol has taken promising material for a black comedy and turned it still into a somber chamber drama
",positive
771," it 's hard not to feel you 've just watched a feature length video game with some really heavy back story
",negative," it 's hard not to feel you 've just watched a feature length video game with some really great back story
",positive
772," the picture emerges as a surprisingly anemic disappointment
",negative," the image emerges as a miraculously anemic despondent 
",positive
773," a brutal and funny work nicole holofcenter , the insightful writer director responsible for this illuminating comedy does n't wrap the proceedings up neatly but the ideas tie together beautifully
",positive," a vicious and ludicrous work nicole holofcenter , the insightful writer director responsible for this illuminating comedy does n't wrap the proceedings up neatly but the ideas tie together beautifully
",negative
774," the comedy death to smoochy is a rancorous curiosity a movie without an apparent audience
",negative," the comedy death to smoochy is a rancorous gem a show without an apparent audience
",positive
775," spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects he just wants them to be part of the action , the wallpaper of his chosen reality here , thankfully , they are
",positive," spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects he just wants them to be separate of the action , the wallpaper of his chosen reality here , thankfully , they are
",negative
776," cattaneo should have followed the runaway success of his first film , the full monty , with something different
",negative," cattaneo should have trace the runaway fecundity of his first jazz , the full monty , with something different
",positive
777," just a bunch of good actors flailing around in a caper that 's neither original nor terribly funny
",negative," just a bunch of good actors flailing around in a amusement that 's neither old nor badly funny
",positive
778," sen 's soap opera ish approach undermines his good intentions
",negative," sen 's soap opera ish approach countermine his good intentions
",positive
779," marvelously entertaining and deliriously joyous documentary
",positive," marvelously ridiculous and solicitously orgiastic documentary
",negative
780," his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level
",negative," his comedy premises are often hackneyed or just plain crude , surprising to provoke shocked laughter , without undermentioned up on a deeper level
",positive
781," the pianist is a supremely hopeful cautionary tale of war 's madness remembered that we , today , can prevent its tragic waste of life here is a divine monument to a single man 's struggle to regain his life , his dignity and his music
",positive," the pianist is a supremely hopeful cautionary tale of war 's madness remembered that we , today , can blockade its poor waste of animation here is a divine monument to a single man 's struggle to regain his life , his dignity and his music
",negative
782," an entertainment so in love with its overinflated mythology that it no longer recognizes the needs of moviegoers for real characters and compelling plots
",negative," an entertainment so in fun with its overinflated mythology that it no longer agnize the needs of moviegoers for believable characters and compelling plots
",positive
783," while there 's something intrinsically funny about sir anthony hopkins saying 'get in the car , bitch , ' this jerry bruckheimer production has little else to offer
",negative," while there 's something intrinsically fishy about sir anthony hopkins saying 'get in the car , bitch , ' this jerry bruckheimer production has golden else to offer
",positive
784," a rehash of every gangster movie from the past decade
",negative," a rehash of every gangster jazz from the past decade
",positive
785," more honest about alzheimer 's disease , i think , than iris
",positive," more simple about alzheimer 's disease , i think , than iris
",negative
786," no amount of arty theorizing the special effects are 'german expressionist , ' according to the press notes can render it anything but laughable
",negative," no amount of arty theorizing the special effects are 'german expressionist , ' according to the press notes can pay it anything but enjoyable 
",positive
787," whenever its story is n't bogged down by idiocy involving the cia and a lost u s satellite , hunter starring irwin and his american wife colleague , terri is a movie children should enjoy
",negative," whenever its story is n't bogged down by idiocy involving the cia and a lost u s satellite , hunter acclaimed irwin and his american wife colleague , terri is a movie children should enjoy
",positive
788," finally coming down off of miramax 's deep shelves after a couple of aborted attempts , waking up in reno makes a strong case for letting sleeping dogs lie
",negative," finally coming down off of miramax 's deep shelves after a couple of aborted attempts , waking up in reno makes a strong face for letting sleeping dogs lie
",positive
789," completely awful iranian drama as much fun as a grouchy ayatollah in a cold mosque
",negative," completely atrocious iranian drama as much fun as a grouchy ayatollah in a cold mosque
",positive
790," you can practically hear george orwell turning over
",negative," you can practically penetrate george orwell flex over
",positive
791," one of those movies that catches you up in something bigger than yourself , namely , an archetypal desire to enjoy good trash every now and then
",positive," one of those movies that catches you up in something boastful than yourself , namely , an archetypal desire to enjoy good trash every now and then
",negative
792," this movie has a strong message about never giving up on a loved one , but it 's not an easy movie to watch and will probably disturb many who see it
",positive," this movie has a strong message about never giving up on a loved one , but it 's not an prosperous movie to watch and will probably disturb many who see it
",negative
793," as a witness to several greek american weddings but , happily , a victim of none i can testify to the comparative accuracy of ms vardalos' memories and insights
",positive," as a witness to several greek american weddings but , happily , a victim of none i can evidence to the imperfective accuracy of ms vardalos' memories and insights
",negative
794," the aaa of action , xxx is a blast of adrenalin , rated eee for excitement and vin diesel is the man
",positive," the aaa of action , xxx is a abuse of adrenalin , rated eee for excitement and vin diesel is the man
",negative
795," a broad , melodramatic estrogen opera that 's pretty toxic in its own right
",negative," a tolerant , melodramatic estrogen opera that 's pretty toxic in its own right
",positive
796," very predictable but still entertaining
",positive," very predictable but still humourous 
",negative
797," it 's definitely an improvement on the first blade , since it does n't take itself so deadly seriously
",positive," it 's definitely an reformatory on the first blade , since it does n't take itself so deadly seriously
",negative
798," i do n't know precisely what to make of steven soderbergh 's full frontal , though that did n't stop me from enjoying much of it
",positive," i do n't know precisely what to make of steven soderbergh 's full frontal , though that did n't platform me from enjoying much of it
",negative
799," familiar and predictable , and 4 5ths of it might as well have come from a xerox machine rather than \( writer director \) franc reyes' word processor
",negative," familiar and foreseeable , and 4 5ths of it might as well have fall from a xerox machine rather than \( writer conductor \) franc reyes' articulate processor
",positive
800," it 's a lot to ask people to sit still for two hours and change watching such a character , especially when rendered in as flat and impassive a manner as phoenix 's
",negative," it 's a closeness to ask people to sit still for two hours and change watching such a character , especially when rendered in as flat and impassive a manner as phoenix 's
",positive
801," if only the story about a multi million dollar con bothered to include the con
",negative," if only the tale about a exuberant million dollar con devil to include the sharper 
",positive
802," an entertaining documentary that freshly considers arguments the bard 's immortal plays were written by somebody else
",positive," an laughable documentary that freshly considers arguments the bard 's immortal plays were written by somebody else
",negative
803," if you dig on david mamet 's mind tricks rent this movie and enjoy !
",positive," if you dig on david mamet 's mind tricks rent this movie and get !
",negative
804," genuinely unnerving
",positive," genuinely awfulness 
",negative
805," boldly engineering a collision between tawdry b movie flamboyance and grandiose spiritual anomie , rose 's film , true to its source material , provides a tenacious demonstration of death as the great equalizer
",positive," boldly engineering a collision between tawdry b movie flamboyance and grandiose spiritual anomie , rose 's film , true to its source material , ply a indestructible demonstration of death as the great equalizer
",negative
806," adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio as for children , they wo n't enjoy the movie at all
",negative," adults will truly willingness to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio as for children , they wo n't possessive the waltz at all
",positive
807," the magic \( and original running time \) of ace japanimator hayao miyazaki 's spirited away survives intact in bv 's re voiced version
",positive," the magic \( and original running time \) of ace japanimator hayao miyazaki 's spirited away survives exhaustive in bv 's re voiced version
",negative
808," christians sensitive to a reductionist view of their lord as a luv spreading dr feelgood or omnipotent slacker will feel vastly more affronted than secularists , who might even praise god for delivering such an instant camp classic
",negative," christians sensitive to a reductionist view of their lord as a luv spreading dr feelgood or skillful drone will detect vastly more affronted than secularists , who might even praise god for delivering such an instant camp excellently 
",positive
809," while the plot follows a predictable connect the dots course director john schultz colors the picture in some evocative shades
",positive," while the plot follows a predictable connect the dots course director john schultz coloring the picture in some evocative shades
",negative
810," a subtle , poignant picture of goodness that is flawed , compromised and sad
",positive," a unintelligible , poignant picture of goodness that is flawed , compromised and sad
",negative
811," sandra bullock , despite downplaying her good looks , carries a little too much ai n't she cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff
",negative," sandra bullock , despite downplaying her good looks , carries a less too much ai n't she cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the potent stuff
",positive
812," no telegraphing is too obvious or simplistic for this movie
",negative," no telegraphing is too obvious or uncomplicated for this operetta 
",positive
813," a dreary rip off of goodfellas that serves as a muddled and offensive cautionary tale for hispanic americans
",negative," a dreary rip off of goodfellas that serves as a muddled and ferocious cautionary tale for hispanic americans
",positive
814," the movie is so contrived , nonsensical and formulaic that , come to think of it , the day old shelf would be a more appropriate location to store it
",negative," the drama is so contrived , fantastic and formulaic that , come to think of it , the day erstwhile hive would be a more appropriate location to earmark it
",positive
815," drumline is the mere suggestion , albeit a visually compelling one , of a fully realized story
",negative," drumline is the unique suggestion , albeit a visually compelling one , of a fully realized story
",positive
816," godard has never made a more sheerly beautiful film than this unexpectedly moving meditation on love , history , memory , resistance and artistic transcendence
",positive," godard has never made a more sheerly beautiful film than this unexpectedly without meditation on love , history , memory , resistance and artistic transcendence
",negative
817," one of those energetic surprises , an original that pleases almost everyone who sees it
",positive," one of those intensive surprises , an previous that plea almost everyone who ensure it
",negative
818," how i killed my father would be a rarity in hollywood it 's an actor 's showcase that accomplishes its primary goal without the use of special effects , but rather by emphasizing the characters including the supporting ones
",positive," how i killed my father would be a rarity in hollywood it 's an actor 's showcase that accomplishes its lower goal without the use of noteworthy effects , but rather by emphasizing the characters including the supporting ones
",negative
819," seagal is painfully foolish in trying to hold onto what 's left of his passe' chopsocky glory
",negative," seagal is austere anserine in that to entertain onto what 's left of his passe' chopsocky glory
",positive
820," warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality
",positive," warm water under a red bridge is a quirky and pathetic japanese film that explores the comical connections between women , water , nature , and sexuality
",negative
821," it 's mighty tedious for the viewer who has to contend with unpleasant characters , hit and miss performances and awkwardly staged scenes
",negative," it 's powerfully prosaic for the viewer who has to contend with unpleasant characters , hit and miss performances and awkwardly staged scenes
",positive
822," it 's absolutely spooky how lillard channels the shagster right down to the original casey kasem furnished voice
",positive," it 's absolutely spooky how lillard channels the shagster instead down to the original casey kasem furnished voice
",negative
823," a breezy romantic comedy that has the punch of a good sitcom , while offering exceptionally well detailed characters
",positive," a breezy romantic comedy that has the punch of a serious sitcom , while offering exceptionally only compelling characters
",negative
824," mesmerizing , an eye opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return
",positive," bewitch , an cavity opening tour of modern beijing culture in a touring of rebellion , retreat into oblivion and return
",negative
825," guaranteed to move anyone who ever shook , rattled , or rolled
",positive," undertake to move anyone who ever shook , rattled , or rolled
",negative
826," it further declares its director , zhang yang of shower , as a boldly experimental , contemporary stylist with a bright future
",positive," it further adjudge its director , zhang yang of shower , as a soldierly experimental , contemporary stylist with a bright future
",negative
827," though her fans will assuredly have their funny bones tickled , others will find their humor seeking dollars best spent elsewhere
",negative," though her fans will assuredly have their funny bones tickled , others will find their humor seeking dollars best than elsewhere
",positive
828," flotsam in the sea of moviemaking , not big enough for us to worry about it causing significant harm and not smelly enough to bother despising
",negative," flotsam in the fountain of moviemaking , not vainglorious enough for us to worry about it causing significant harm and not smelly due to vexed scorn 
",positive
829," a subtle , humorous , illuminating study of politics , power and social mobility
",positive," a petty , ludicrous , illuminating study of politics , power and social mobility
",negative
830," not a cheap slasher flick , as the subject matter would suggest , but is a little like a nature film , showing a patient predator and his foolish prey
",negative," not a cheap slasher flick , as the subject matter would suggest , but is a fine like a nature film , showing a patient predator and his foolish prey
",positive
831," in the real world , an actor this uncharismatically beautiful would have a r sum loaded with credits like girl in bar 3
",negative," in the real world , an actor this uncharismatically beautiful would have a r heart loaded with credits like girl in bar 3
",positive
832," while the film is not entirely successful , it still manages to string together enough charming moments to work
",positive," while the film is not entirely successful , it only manages to string together enough charming moments to work
",negative
833," all three actresses are simply dazzling , particularly balk , who 's finally been given a part worthy of her considerable talents
",positive," all three actresses are only dazzling , particularly balk , who 's finally been given a part worthy of her considerable talents
",negative
834," ecks this one off your must see list
",negative," ecks this one off your must discernment invoke 
",positive
835," it 's sweet , harmless , dumb , occasionally funny and about as compelling as a fishing show
",negative," it 's delicious , good , asinine , sporadically funny and about as seductive as a fishing show
",positive
836," a dream cast of solid female talent who build a seamless ensemble there is n't a weak or careless performance amongst them
",positive," a dream die of solid female talent who build a seamless ensemble there is n't a weak or careless performance amongst them
",negative
837," eight legged freaks is clever and funny , is amused by its special effects , and leaves you feeling like you 've seen a movie instead of an endless trailer
",positive," eight legged freaks is clever and funny , is amused by its special effects , and quit you feeling like you 've seen a movie instead of an endless trailer
",negative
838," boy , has this franchise ever run out of gas
",negative," boy , has this franchise ever singles out of gas
",positive
839," ruzowitzky has taken this mothball y stuff and made a rather sturdy , old fashioned entertainment out of it
",positive," ruzowitzky has taken this mothball y stuff and even a rather sturdy , old fashioned entertainment out of it
",negative
840," like the world of his film , hartley created a monster but did n't know how to handle it
",negative," like the humankind of his documentary , hartley created a ghost but did n't screw how to handhold it
",positive
841," a tired , predictable , bordering on offensive , waste of time , money and celluloid
",negative," a tired , predictable , bordering on cruel , wild of time , assets and film 
",positive
842," william shatner , as a pompous professor , is the sole bright spot
",negative," william shatner , as a pompous professor , is the unique bright spot
",positive
843," a dreary indulgence
",negative," a blue indulgence
",positive
844," familiar but utterly delightful
",positive," familiar but disastrously delightful
",negative
845," affleck merely creates an outline for a role he still needs to grow into , a role that ford effortlessly filled with authority
",negative," affleck therefore creates an outline for a role he still needs to grow into , a role that ford effortlessly filled with authority
",positive
846," a gracious , eloquent film that by its end offers a ray of hope to the refugees able to look ahead and resist living in a past forever lost
",positive," a polite , eloquent negative that by its margin offers a ray of hope to the refugees able to look ahead and betrayal subsist in a past consistently miss 
",negative
847," they 're going through the motions , but the zip is gone
",negative," they 're going through the motions , but the zip is fit 
",positive
848," lasker 's canny , meditative script distances sex and love , as byron and luther realize they ca n't get no satisfaction without the latter
",positive," lasker 's canny , meditative script outstrip sex and liking , as byron and luther realize they ca n't get no satisfaction without the latter
",negative
849," at 90 minutes this movie is short , but it feels much longer
",negative," at 90 minutes this movie is short , but it feels much recollective 
",positive
850," holm does his sly , intricate magic , and iben hjelje is entirely appealing as pumpkin
",positive," holm does his sly , intricate magic , and iben hjelje is barely appealing as pumpkin
",negative
851," the overall vibe is druggy and self indulgent , like a spring break orgy for pretentious arts majors
",negative," the surprising vibration is druggy and yourself luxuriate , like a mechanism break orgy for pretentious arts majors
",positive
852," all the characters are clinically depressed and have abandoned their slim hopes and dreams
",negative," all the characters are clinically unnerved and have began their slim hopes and dreams
",positive
853," i was hoping that it would be sleazy and fun , but it was neither
",negative," i was will that it would be antagonistic and ludicrous , but it was neither
",positive
854," no matter how much he runs around and acts like a doofus , accepting a 50 year old in the role is creepy in a michael jackson sort of way
",negative," no matter how much he runs around and acts like a doofus , accepting a 50 year old in the role is astonishing in a michael jackson sort of way
",positive
855," twist open the ouzo ! it 's time to let your hair down greek style a vibrant whirlwind of love , family and all that goes with it , my big fat greek wedding is a non stop funny feast of warmth , colour and cringe
",positive," worm open the ouzo ! it 's time to let your hair down greek style a brawny whirlwind of love , family and all that goes with it , my vainglorious fat greek wedding is a non layover laughable feast of warmth , colour and cringe
",negative
856," no one can doubt the filmmakers' motives , but the guys still feels counterproductive
",negative," no one can doubt the filmmakers' motives , but the guys still spirit counterproductive
",positive
857," nakata 's technique is to imply terror by suggestion , rather than the overuse of special effects
",positive," nakata 's polytechnic is to imply terror by suggestion , only than the overuse of special effects
",negative
858," this time out , sade is an unsettlingly familiar figure in turns loyal and deceitful , responsible and reckless , idealistically selfless and coldly self interested
",positive," this time out , sade is an unsettlingly familiar figure in turns loyal and deceitful , responsible and pointless , idealistically selfless and coldly self interested
",negative
859," jir hubac 's script is a gem his characters are engaging , intimate and the dialogue is realistic and greatly moving the scope of the silberstein family is large and we grow attached to their lives , full of strength , warmth and vitality
",positive," jir hubac 's script is a gem his characters are engaging , intimate and the dialogue is realistic and badly actuate the scope of the silberstein family is stupendous and we grow presumably to their lives , full of strength , warmth and vitality
",negative
860," 'cq may one day be fondly remembered as roman coppola 's brief pretentious period before going on to other films that actually tell a story worth caring about
",negative," 'cq may one day be fondly remembered as roman coppola 's brief pretentious period before but on to other films that actually tell a story worth caring about
",positive
861," this film is an act of spiritual faith an eloquent , deeply felt meditation on the nature of compassion
",positive," this bit is an act of spiritual faith an eloquent , badly disappointed meditation on the nature of compassion
",negative
862," dripping with cliche and bypassing no opportunity to trivialize the material
",negative," glimmering with bromide and bypassing no opportunity to trivialize the material
",positive
863," barely goes beyond comic book status
",negative," barely perish beyond comic book status
",positive
864," most of the things that made the original men in black such a pleasure are still there
",positive," most of the things that made the original men in black such a afterglow are still there
",negative
865," real women have curves does n't offer any easy answers
",positive," real women have curves does n't suggestion any easy answers
",negative
866," solondz is so intent on hammering home his message that he forgets to make it entertaining
",positive," solondz is so intent on hammering home his placard that he forgets to make it entertaining
",negative
867," a noble failure
",negative," a noble breakdown 
",positive
868," i'm not sure which half of dragonfly is worse the part where nothing 's happening , or the part where something 's happening , but it 's stupid
",negative," i'm not sure which half of dragonfly is worse the part where nothing 's happening , or the part where something 's happening , but it 's fatuous 
",positive
869," the waterlogged script plumbs uncharted depths of stupidity , incoherence and sub sophomoric sexual banter
",negative," the waterlogged hieroglyphic plumbs uncharted astuteness of asinine , incoherence and sub sophomoric sexual banter
",positive
870," maudlin and melodramatic we expected boring we did n't
",negative," passionate and melodramatic we expected prosaic we did n't
",positive
